Name,,Pop. 1990,1990,Pop. 2000,2000,Pop. 2010,2010,Pop. 2020,2020,Pop. 2022,2022,Change 2020-22,change 2020-2022,
Rhode Island,,"1,003,464",,"1,048,259",,"1,052,567",,"1,097,371",,"1,093,734",,-0.30%,,
South Carolina,,"3,486,310",,"4,012,023",,"4,625,364",,"5,118,429",,"5,282,634",,3.20%,,
South Dakota,,"696,004",,"754,858",,"814,180",,"886,677",,"909,824",,2.60%,,
Tennessee,,"4,877,203",,"5,689,427",,"6,346,105",,"6,910,786",,"7,051,339",,2.00%,,
Texas,,"16,986,335",,"20,851,028",,"25,145,561",,"29,145,428",,"30,029,572",,3.00%,,
Utah,,"1,722,850",,"2,233,183",,"2,763,885",,"3,271,614",,"3,380,800",,3.30%,,
Vermont,,"562,758",,"608,613",,"625,741",,"643,085",,"647,064",,0.60%,,
Virginia,,"6,189,197",,"7,079,057",,"8,001,024",,"8,631,384",,"8,683,619",,0.60%,,
Washington,,"4,866,669",,"5,894,281",,"6,724,540",,"7,705,247",,"7,785,786",,1.00%,,
West Virginia,,"1,793,477",,"1,808,193",,"1,852,994",,"1,793,755",,"1,775,156",,-1.00%,,
Wisconsin,,"4,891,954",,"5,363,757",,"5,686,986",,"5,893,725",,"5,892,539",,0.00%,,
Wyoming,,"453,589",,"493,786",,"563,626",,"576,837",,"581,381",,0.80%,,
Puerto Rico,,"3,522,037",,"3,808,605",,"3,725,789",,"3,285,874",,"3,221,789",,-2.00%,,
